"admission_date","release_date","race","ethnicity","admission_status","charge","severity","bail_eligible"
2019-05-09,2019-05-10,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-20,2019-05-10,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-02-07,2020-02-11,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-31,2019-03-06,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-03-23,NA,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-23,2019-02-26,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-25,2019-03-02,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-07,2019-11-05,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-10,2019-01-13,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-20,2019-06-19,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-04,2019-05-31,"Other","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-04-06,2019-04-12,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-11,2019-08-09,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-05,2019-02-06,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-29,2019-08-31,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-02-19,2020-02-26,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-14,2019-03-16,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-10,2019-01-12,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
